2006 RH120,3.813,0.635,0.605,29.5,1.033
2007 UN12,3.823,0.637,0.607,28.7,1.054
2010 UE51,3.829,0.638,0.608,28.3,1.055
2012 TF79,3.867,0.644,0.614,27.4,1.050
2009 BD,3.870,0.645,0.614,28.1,1.062
2010 VQ98,3.924,0.654,0.623,28.2,1.023
2008 HU4,3.927,0.654,0.623,28.2,1.093
2014 UV210,3.931,0.655,0.624,26.9,1.159
2014 WX202,3.945,0.657,0.626,29.6,1.035
2012 EC,3.957,0.659,0.628,23.4,1.154
2008 EA9,3.962,0.660,0.629,27.7,1.059
2015 KK57,3.966,0.661,0.629,27.5,1.092
2015 VC2,3.971,0.662,0.630,27.4,1.063
1991 VG,3.998,0.666,0.635,28.5,1.027
2015 PS228,4.008,0.668,0.636,28.8,1.057
2014 YD,4.009,0.668,0.636,24.3,1.072
2015 YO10,4.011,0.669,0.637,26.6,1.121
2015 DU,4.019,0.670,0.638,26.5,1.102
2013 EC20,4.029,0.671,0.640,29.0,1.111
2008 UA202,4.029,0.672,0.640,29.4,1.033
2013 DA1,4.030,0.672,0.640,27.3,1.168
2016 CF137,4.068,0.678,0.646,25.6,1.091
2012 WR10,4.076,0.679,0.647,28.7,1.085
2006 UB17,4.082,0.680,0.648,26.3,1.140
2014 SU1,4.083,0.680,0.648,25.1,1.207
2013 XY20,4.084,0.681,0.648,25.5,1.131
2013 BS45,4.092,0.682,0.650,25.9,0.993
2001 GP2,4.094,0.682,0.650,26.9,1.038
2016 EP84,4.097,0.683,0.650,27.3,1.182
2014 QN266,4.103,0.684,0.651,26.3,1.053
2013 RZ53,4.107,0.684,0.652,31.1,1.015
2011 MD,4.113,0.686,0.653,28.0,1.056
2013 CY,4.117,0.686,0.653,28.3,1.114
2005 LC,4.122,0.687,0.654,26.8,1.134
2011 CG2,4.125,0.688,0.655,21.4,1.177
2010 SZ3,4.128,0.688,0.655,27.4,1.185
2012 MY2,4.129,0.688,0.655,26.4,1.260
2009 OS5,4.131,0.688,0.656,24.5,1.144
