spec_t,constituents,x,category,factor,spec_dist_total,dist_pct,market_rate,density,value
A,silicon,135636.3636,minor,1,22,4.55%,800,3.73,"$13,955,761,090.91"
A,calcium,18650,minor,1,22,4.55%,110,3.73,"$1,918,917,150.00"
A,sodium,13055,minor,1,22,4.55%,77,3.73,"$1,343,242,005.00"
A,nickel,7977.113636,major,5,22,22.73%,9.41,3.73,"$820,773,199.16"
A,magnesium,1720.886364,major,5,22,22.73%,2.03,3.73,"$177,063,718.84"
A,oxygen,508.6363636,minor,1,22,4.55%,3,3.73,"$52,334,104.09"
A,aluminium,274.6636364,minor,1,22,4.55%,1.62,3.73,"$28,260,416.21"
A,iron,42.38636364,major,5,22,22.73%,0.05,3.73,"$4,361,175.34"
A,sulfur,23.73636364,minor,1,22,4.55%,0.14,3.73,"$2,442,258.19"
A,phosphorus,16.95454545,minor,1,22,4.55%,0.1,3.73,"$1,744,470.14"
B,iridium,54644817.05,major,5,22,22.73%,16720.25,14.38,"$5,622,459,870,623.86"
B,silicon,2614545.455,major,5,22,22.73%,800,14.38,"$269,013,196,363.64"
B,carbon,183018.1818,major,5,22,22.73%,56,14.38,"$18,830,923,745.45"
B,nitrogen,2712.590909,major,5,22,22.73%,0.83,14.38,"$279,101,191.23"
B,oxygen,1960.909091,minor,1,22,4.55%,3,14.38,"$201,759,897.27"
B,hydrogen,1438,minor,1,22,4.55%,2.2,14.38,"$147,957,258.00"
C,iridium,58140869.32,major,5,22,22.73%,16720.25,15.3,"$5,982,172,185,017.05"
C,silicon,2781818.182,major,5,22,22.73%,800,15.3,"$286,224,054,545.46"
C,carbon,194727.2727,major,5,22,22.73%,56,15.3,"$20,035,683,818.18"
C,nitrogen,2886.136364,major,5,22,22.73%,0.83,15.3,"$296,957,456.59"
C,oxygen,2086.363636,minor,1,22,4.55%,3,15.3,"$214,668,040.91"
C,hydrogen,1530,minor,1,22,4.55%,2.2,15.3,"$157,423,230.00"
D,silicon,6120000,major,5,10,50.00%,800,15.3,"$629,692,920,000.00"
D,oxygen,22950,major,5,10,50.00%,3,15.3,"$2,361,348,450.00"
E,silicon,667500,major,5,16,31.25%,800,2.67,"$68,679,742,500.00"
